dispnum,ccode,styear,stmon,stday,endyear,endmon,endday,obsid_start,obsid_end,sidea,hiact,orig,n_ccodes,bilat,init
1081,663,1971,7,16,1971,8,13,JOR-1952,JOR-1952,1,17,1,2,1,
1081,652,1971,7,16,1971,8,13,SYR-1971,SYR-1971,0,17,1,2,1,
1083,615,1962,7,2,1962,10,9,,ALG-1962-2,0,17,1,2,1,
1083,600,1962,7,2,1962,10,9,MOR-1961,MOR-1961,1,17,1,2,1,
1084,600,1963,9,-9,1964,2,20,MOR-1961,MOR-1961,1,17,1,2,1,
1084,615,1963,9,-9,1964,2,20,ALG-1962-2,ALG-1962-2,0,17,1,2,1,
1086,600,1909,5,9,1910,3,23,,,0,20,1,2,1,
1086,230,1909,5,9,1910,3,23,SPN-1907,SPN-1910,1,20,1,2,1,
1108,670,1962,10,-9,1963,3,3,SAU-1953,SAU-1953,0,17,1,5,0,
1108,663,1962,10,7,1963,2,3,JOR-1952,JOR-1952,0,17,0,5,0,
1108,651,1962,10,-9,1963,3,3,EGY-1954,EGY-1954,1,17,1,5,0,
1108,678,1962,10,7,1963,1,4,YEM-1962-2,YEM-1962-2,1,17,0,5,0,
1108,2,1963,3,-9,1963,3,-9,USA-1961,USA-1961,0,1,0,5,0,
1110,670,1969,11,26,1969,12,3,SAU-1964,SAU-1964,0,17,1,2,1,
1110,680,1969,11,26,1969,12,3,YPR-1969,YPR-1969,1,17,1,2,1,
1114,101,1959,7,-9,1959,7,24,VEN-1959,VEN-1959,1,8,0,3,0,
1114,42,1959,6,-9,1959,7,-9,DOM-1930-2,DOM-1930-2,0,8,1,3,0,0
1114,40,1959,6,-9,1959,7,-9,CUB-1959,CUB-1959,1,8,1,3,0,1
1115,101,1967,5,8,1967,5,8,VEN-1964,VEN-1964,0,17,1,2,1,
1115,40,1967,5,8,1967,5,8,CUB-1959,CUB-1959,1,17,1,2,1,
1117,230,1957,11,21,1958,4,2,SPN-1939-2,SPN-1939-2,1,16,1,3,0,1
1117,600,1957,11,21,1958,4,2,MOR-1956,MOR-1956,0,0,1,3,0,0
1117,220,1958,2,10,1958,4,2,FRN-1957-2,FRN-1957-2,1,16,0,3,0,
1119,600,1973,1,-9,1974,1,2,MOR-1961,MOR-1961,1,17,1,2,1,
1119,230,1973,1,-9,1974,1,2,SPN-1939-2,SPN-1939-2,0,17,1,2,1,
1129,670,1933,11,14,1934,6,14,SAU-1927,SAU-1927,1,20,1,5,0,
1129,678,1933,11,14,1934,6,14,YEM-1904,YEM-1904,0,20,1,5,0,
1129,325,1934,5,4,1934,6,14,ITA-1922-2,ITA-1922-2,0,7,0,5,0,
1129,200,1934,5,2,1934,6,14,UKG-1929,UKG-1929,0,7,0,5,0,
1129,220,1934,5,6,1934,6,14,FRN-1934-2,FRN-1934-2,0,7,0,5,0,
1131,640,1914,11,13,1917,3,20,TUR-1913,TUR-1913,1,17,1,2,1,
1131,630,1914,11,13,1917,3,20,IRN-1909,IRN-1909,0,17,1,2,1,
1135,630,1971,11,30,1972,8,10,IRN-1953,IRN-1953,1,17,1,3,0,
1135,200,1971,11,30,1971,12,2,UKG-1970,UKG-1970,0,17,1,3,0,
1135,696,1972,2,10,1972,8,10,UAE-1971,UAE-1971,0,0,0,3,0,0
1139,135,1932,9,1,1933,5,7,PER-1931-4,PER-1933,1,17,1,2,1,
1139,100,1932,9,1,1933,5,7,COL-1930,COL-1930,0,17,1,2,1,
1142,365,1917,12,19,1917,12,29,RUS-1917,RUS-1917,0,17,1,2,1,
1142,710,1917,12,19,1917,12,29,CHN-1917,CHN-1917,1,17,1,2,1,
1151,135,1932,10,10,1932,11,13,PER-1931-4,PER-1931-4,0,17,1,2,1,
1151,130,1932,10,10,1932,11,13,ECU-1932-2,ECU-1932-2,1,17,1,2,1,
1153,130,1938,6,1,1938,6,18,ECU-1937,ECU-1937,0,17,1,2,1,
1153,135,1938,6,1,1938,6,18,PER-1933,PER-1933,1,17,1,2,1,
1154,135,1939,7,19,1942,1,29,PER-1933,PER-1939,1,17,1,2,1,
1154,130,1939,7,19,1942,1,29,ECU-1938-2,ECU-1940-2,0,17,1,2,1,
1155,130,1951,8,9,1951,8,14,ECU-1948,ECU-1948,0,17,1,2,1,
1155,135,1951,8,9,1951,8,14,PER-1950-2,PER-1950-2,1,17,1,2,1,
1161,100,1911,1,18,1911,7,19,COL-1910,COL-1910,1,17,1,2,1,
1161,135,1911,1,18,1911,7,19,PER-1908,PER-1908,0,17,1,2,1,
1163,135,1902,10,21,1904,7,12,PER-1899,PER-1904-1,1,17,1,2,1,
1163,140,1902,10,21,1904,7,12,BRA-1898,BRA-1902,0,17,1,2,1,
1168,91,1922,4,-9,1922,8,20,HON-1920,HON-1920,1,17,1,2,1,
1168,93,1922,4,-9,1922,8,20,NIC-1921,NIC-1921,0,17,1,2,1,
1169,90,1927,10,-9,1928,2,14,GUA-1926,GUA-1926,0,17,1,2,1,
1169,91,1927,10,-9,1928,2,14,HON-1925,HON-1925,1,17,1,2,1,
1170,2,1929,4,7,1929,4,7,USA-1929,USA-1929,1,16,0,3,0,
1170,93,1929,3,31,1929,9,-9,NIC-1929,NIC-1929,1,16,1,3,0,1
1170,91,1929,3,31,1929,9,-9,HON-1929,HON-1929,0,16,1,3,0,0
1171,90,1935,8,-9,1935,9,-9,GUA-1931-2,GUA-1931-2,1,17,1,2,1,
1171,92,1935,8,-9,1935,9,-9,SAL-1935,SAL-1935,0,17,1,2,1,
1173,93,1957,2,-9,1957,6,23,NIC-1956,NIC-1956,1,17,1,2,1,
1173,91,1957,2,-9,1957,6,23,HON-1956,HON-1956,0,17,1,2,1,
1174,100,1900,9,17,1901,10,-9,COL-1900,COL-1900,1,17,1,2,1,
1174,101,1900,9,17,1901,10,-9,VEN-1899,VEN-1899,0,17,1,2,1,
1180,135,1910,12,7,1911,3,30,PER-1908,PER-1908,0,17,1,2,1,
1180,145,1910,12,7,1911,3,30,BOL-1909,BOL-1909,1,17,1,2,1,
1190,91,1976,7,13,1976,8,9,HON-1975,HON-1975,1,17,1,2,1,
1190,92,1976,7,13,1976,8,9,SAL-1972,SAL-1972,0,17,1,2,1,
1193,2,1954,7,31,1955,1,8,USA-1953,USA-1953,0,8,0,3,0,
1193,93,1954,4,6,1955,2,6,NIC-1947-2,NIC-1947-2,1,16,1,3,0,1
1193,94,1954,4,6,1955,2,6,COS-1953,COS-1953,0,16,1,3,0,0
1197,710,1943,9,1,1943,9,1,CHN-1940,CHN-1940,1,17,1,2,1,
1197,712,1943,9,1,1943,9,1,MON-1936,MON-1936,0,17,1,2,1,
1202,92,1907,3,12,1907,9,17,SAL-1907,SAL-1907,1,20,0,3,0,
1202,91,1907,1,5,1907,9,17,HON-1903,HON-1907,1,20,1,3,0,
1202,93,1907,1,5,1907,9,17,NIC-1893,NIC-1893,0,20,1,3,0,
1203,91,1909,3,15,1909,5,25,HON-1907,HON-1907,1,7,0,5,0,
1203,70,1909,3,14,1909,5,25,MEX-1876,MEX-1876,1,7,0,5,0,
1203,2,1909,1,3,1909,5,25,USA-1901,USA-1909,1,7,1,5,0,1
1203,93,1909,1,3,1909,5,25,NIC-1893,NIC-1893,0,16,1,5,0,0
1203,92,1909,3,12,1909,5,25,SAL-1907,SAL-1907,1,16,0,5,0,
1205,93,1906,5,28,1906,6,-9,NIC-1893,NIC-1893,0,7,0,4,0,
1205,90,1906,3,-9,1906,7,20,GUA-1898,GUA-1898,1,20,1,4,0,
1205,91,1906,7,13,1906,7,20,HON-1903,HON-1903,0,20,0,4,0,
1205,92,1906,3,-9,1906,7,20,SAL-1903,SAL-1903,0,20,1,4,0,
1206,92,1969,6,24,1969,7,18,SAL-1967,SAL-1967,1,20,1,2,1,
1206,91,1969,6,24,1969,7,18,HON-1963,HON-1963,0,20,1,2,1,
1208,150,1959,12,-9,1959,12,28,PAR-1954-2,PAR-1954-2,1,17,1,2,1,
1208,160,1959,12,-9,1959,12,28,ARG-1958,ARG-1958,0,17,1,2,1,
1209,150,1962,5,15,1962,11,-9,PAR-1954-2,PAR-1954-2,1,17,1,2,1,
